sep=\t
Module Resource Usage Distribution Estimates
Generated at: Feb 08, 2024 11:42:37

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
   +system_uart_0_io_logic:BmbUartCtrl_3c5c6ba8cd47460daa75b7c3d4f9b3fe	    197(99)	       0(0)	      79(8)	    185(45)	     0(0)	     2(0)	     0(0)	
    +uartCtrl_1:UartCtrl_3c5c6ba8cd47460daa75b7c3d4f9b3fe   	     66(21)	       0(0)	     27(21)	    112(32)	     0(0)	     0(0)	     0(0)	
     +tx:UartCtrlTx_3c5c6ba8cd47460daa75b7c3d4f9b3fe        	     11(11)	       0(0)	       0(0)	     31(31)	     0(0)	     0(0)	     0(0)	
     +rx:UartCtrlRx_3c5c6ba8cd47460daa75b7c3d4f9b3fe        	     34(32)	       0(0)	       6(6)	     49(49)	     0(0)	     0(0)	     0(0)	
      +io_rxd_buffercc:BufferCC_14_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +bridge_write_streamUnbuffered_queueWithOccupancy:StreamFifo_6_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     16(16)	       0(0)	     22(22)	     13(13)	     0(0)	     1(1)	     0(0)	
    +system_uart_0_io_logic_uartCtrl_1_io_read_queueWithOccupancy:StreamFifo_6_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     16(16)	       0(0)	     22(22)	     15(15)	     0(0)	     1(1)	     0(0)	
   +system_spi_0_io_logic:BmbSpiXdrMasterCtrl_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   206(138)	       0(0)	      61(0)	   212(112)	     0(0)	     2(0)	     0(0)	
    +ctrl:TopLevel_3c5c6ba8cd47460daa75b7c3d4f9b3fe         	     32(32)	       0(0)	     11(11)	     69(69)	     0(0)	     0(0)	     0(0)	
    +mapping_cmdLogic_streamUnbuffered_queueWithAvailability:StreamFifo_4_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     18(18)	       0(0)	     25(25)	     15(15)	     0(0)	     1(1)	     0(0)	
    +system_spi_0_io_logic_ctrl_io_rsp_queueWithOccupancy:StreamFifo_5_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     18(18)	       0(0)	     25(25)	     16(16)	     0(0)	     1(1)	     0(0)	
   +toplevel_system_cores_0_logic_cpu_stoptime_buffercc:BufferCC_10_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       0(0)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +toplevel_system_cores_1_logic_cpu_stoptime_buffercc:BufferCC_10_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       0(0)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +toplevel_system_cores_2_logic_cpu_stoptime_buffercc:BufferCC_10_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       0(0)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +toplevel_system_cores_3_logic_cpu_stoptime_buffercc:BufferCC_10_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       0(0)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
